coluna,cardinalidade_operacional,estrategia_pipe_contrato,classificacao_legado,tem_pipe,n_linhas_com_pipe,divergencia_legado_vs_contrato,risco,acao_recomendada
Outra forma de vida de planta seca e/ou morta: (amostragem/registro),,diagnosticar_sem_match_nao_forcar,pipe_residual_operacional,FALSE,0,TRUE,baixo_ou_sem_pipe,diagnosticar_nao_migrar
Foto de outra forma de vida de planta seca ou morta: (amostragem/registro),,diagnosticar_sem_match_nao_forcar,pipe_residual_tecnico_tolerado,FALSE,0,TRUE,baixo_ou_sem_pipe,diagnosticar_nao_migrar
Módulo (amostragem),,diagnosticar_sem_match_nao_forcar,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,diagnosticar_nao_migrar
Materiais botânicos em decomposição no solo observados: (amostragem/registro),select_multiple,tratar_como_conjunto_tokens,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,revisar_antes_de_migrar_tratar_como_conjunto
COLETORES,,diagnosticar_sem_match_nao_forcar,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,diagnosticar_nao_migrar
Selecione se a bromélia observada é: (amostragem/registro),estruturado_condicional_esparso,resolver_por_elegibilidade_relevance_necessaria,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,aguardar_contexto_relevance_antes_de_migrar
A bromélia observada é: (amostragem/registro),estruturado_condicional_esparso,resolver_por_elegibilidade_relevance_necessaria,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,aguardar_contexto_relevance_antes_de_migrar
Selecione se a orquidea observada é: (amostragem/registro),estruturado_condicional_esparso,resolver_por_elegibilidade_relevance_necessaria,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,aguardar_contexto_relevance_antes_de_migrar
Selecione se a bromélia observada é: (amostragem/registro).1,estruturado_condicional_esparso,resolver_por_elegibilidade_relevance_necessaria,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,aguardar_contexto_relevance_antes_de_migrar
A bromélia observada é: (amostragem/registro).1,estruturado_condicional_esparso,resolver_por_elegibilidade_relevance_necessaria,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,aguardar_contexto_relevance_antes_de_migrar
Selecione se a orquidea observada é: (amostragem/registro).1,estruturado_condicional_esparso,resolver_por_elegibilidade_relevance_necessaria,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,aguardar_contexto_relevance_antes_de_migrar
Selecione se a bromélia observada é: (amostragem/registro).2,estruturado_condicional_esparso,resolver_por_elegibilidade_relevance_necessaria,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,aguardar_contexto_relevance_antes_de_migrar
A bromélia observada é: (amostragem/registro).2,estruturado_condicional_esparso,resolver_por_elegibilidade_relevance_necessaria,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,aguardar_contexto_relevance_antes_de_migrar
Selecione se a orquidea observada é: (amostragem/registro).2,estruturado_condicional_esparso,resolver_por_elegibilidade_relevance_necessaria,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,aguardar_contexto_relevance_antes_de_migrar
Espécie ou nome popular (Graminoide) (amostragem/registro),texto_livre,preservar_texto_livre,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,seguro_preservar_como_esta
